EmployeeID,Avg_Work_Hours
1,7.374137931034483
2,7.717725988700566
3,7.013498622589531
4,7.193475177304965
5,8.00625850340136
6,10.796061884669479
7,6.9230603448275865
8,6.7255144032921805
9,7.2368840579710145
10,7.07962962962963
11,8.403526970954358
12,7.06881051175657
13,9.30160116448326
14,9.399148936170214
15,6.088934993084371
16,6.70506329113924
17,6.619897209985316
18,11.01490514905149
19,6.960488505747126
20,9.292207792207792
21,7.59073275862069
22,6.008154506437768
23,8.402514367816092
24,6.8061294765840215
25,7.092929292929293
26,9.361203319502076
27,10.976150627615063
28,7.605155367231638
29,10.977434842249657
30,6.832391304347826
31,10.109313725490196
32,6.710330578512397
33,10.517877492877494
34,6.182921810699589
35,6.5865277777777775
36,10.27169540229885
37,9.981955922865014
38,5.979782608695651
39,6.775770925110132
40,7.69002789400279
41,7.205601092896175
42,7.594468085106383
43,6.952617079889807
44,7.008055555555556
45,7.201502732240438
46,7.173680555555555
47,7.635390070921986
48,7.832911392405063
49,6.97496328928047
50,6.906798245614035
51,10.895247933884297
52,9.124331926863572
53,6.8311715481171555
54,7.315889830508475
55,8.610109289617487
56,6.784669479606189
57,10.985646258503401
58,7.686930983847284
59,9.948902606310014
60,7.906206415620642
61,10.671584699453552
62,10.495606694560669
63,10.06962481962482
64,6.606995884773663
65,7.4983825597749645
66,10.727462887989205
67,6.184841954022989
68,6.609324522760645
69,6.076608187134503
70,9.972628726287263
71,7.4218319559228645
72,6.493689986282579
73,6.299503546099292
74,9.316666666666666
75,6.097701149425288
76,7.21701680672269
77,7.1000000000000005
78,9.914862914862915
79,10.477753623188406
80,6.906903765690377
81,7.589655172413793
82,6.079234972677595
83,6.001271186440678
84,8.983126721763087
85,10.42626050420168
86,8.387295081967213
87,7.9120886981402005
88,7.105907172995781
89,9.688423988842398
90,7.770362622036263
91,6.284177215189873
92,6.3058655221745346
93,8.831725146198831
94,7.723232323232323
95,7.317310443490701
96,10.797638326585696
97,10.400816326530611
98,5.994581618655693
99,6.113598326359833
100,8.134153005464482
101,7.305675287356322
102,7.105392156862745
103,6.327517730496454
104,8.127825464949929
105,7.986608442503639
106,10.50916305916306
107,7.993362193362193
108,6.104459064327485
109,7.587339055793991
110,6.890144927536232
111,9.29608262108262
112,10.806639566395663
113,5.994130434782609
114,7.788639455782313
115,7.718220338983051
116,6.189672364672365
117,7.121336206896552
118,7.824791666666667
119,7.619078947368421
120,6.002777777777778
121,9.113687943262411
122,8.684039548022598
123,9.993115942028984
124,6.901154401154401
125,6.999791666666667
126,6.286363636363637
127,6.366666666666666
128,8.191805555555556
129,6.451805555555556
130,6.682971014492753
131,7.483333333333333
132,9.919863945578232
133,7.41645390070922
134,7.494817927170868
135,5.9985315712187965
136,6.860185185185185
137,6.132040229885058
138,7.675624082232012
139,8.87906162464986
140,10.895833333333334
141,10.691559370529328
142,7.061350574712644
143,9.00904761904762
144,7.4205718270571825
145,7.5862585034013605
146,6.623928077455048
147,6.193008474576271
148,6.472104519774011
149,8.195061728395062
150,6.788115330520394
151,7.301914893617021
152,6.8218884120171674
153,7.32268115942029
154,6.164367816091954
155,7.610759493670886
156,6.595168067226891
157,10.648940677966102
158,6.204478707782673
159,8.59127988748242
160,6.001159420289855
161,6.281350954478707
162,7.905270655270656
